geneID	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_02764	1307.56	958.169	857	61.144	55	220.506
RUMHYD_02765	4548	2973.787	4114	257.856	122	207.494
RUMHYD_02766	9753.119	9721	13932	1075.083	544	592
RUMHYD_02767	34	18	63	9.917	2	88
RUMHYD_02768	71	26	30	0	16	69
RUMHYD_02769	461	100	484	20	16	89.645
RUMHYD_02770	381	187	547	43	74	404.355
RUMHYD_02771	3711.218	4948.058	6637.406	80.431	81.572	49.148
RUMHYD_02772	1589.782	2247.942	2999.594	65.569	36.428	73.852
RUMHYD_02773	2224.403	1588.665	2407.236	136.583	100.384	60.161
RUMHYD_02774	7759.597	6197.531	8743.879	330.417	246.616	318.842
RUMHYD_02775	92	61	187	12	0	4.997
RUMHYD_02776	3385	937	2095	661	295	260.611
RUMHYD_02777	6274	1920	8907	987.269	467	427.389
RUMHYD_02778	8253.61	2369.741	14516.975	1011.391	527	503.444
RUMHYD_02779	724.39	223.259	1483.025	73.34	70	64.556
RUMHYD_02780	4546.511	1153.985	7087.162	513.15	260.902	253.679
RUMHYD_02781	2533.764	752.872	5517.888	138.85	112.544	125.321
RUMHYD_02782	2808.191	902.427	5020.405	208.074	81.554	126
RUMHYD_02783	5504.195	1584.661	8260.922	438.819	221	321.795
RUMHYD_02784	7801.266	2215.055	11653.623	349.107	241	304.205
RUMHYD_02785	8932.38	2693.963	14040.312	538.517	263.685	237.212
RUMHYD_02786	1769.135	592.123	3414.599	98.778	30.315	89.852
RUMHYD_02787	2265.148	631.453	3496.955	89.441	40	64.642
RUMHYD_02788	4525.344	1234.461	6067.135	200.971	108	98.294
RUMHYD_02789	2556.828	612.041	3409.849	98.293	38	50
RUMHYD_02790	7008.594	1908.254	11397.84	311.514	136.095	196.497
RUMHYD_02791	2100.887	432.724	3615.056	52.486	44.905	96.503
RUMHYD_02792	4467.265	1164.243	8773.549	181.238	73.606	124
RUMHYD_02793	1241.558	290.553	2406.722	64.656	13	17
RUMHYD_02794	7635.38	1620.848	7809.468	504.405	240.394	205
RUMHYD_02795	6197.023	1314.77	8319.509	272.752	190.544	134.001
RUMHYD_02796	15871.098	3687.114	18615.748	604.624	242.456	403.999
RUMHYD_02797	1697.757	357.496	2819.559	35.326	26	15
RUMHYD_02798	10104.688	1917.461	14293.655	308	157	178
RUMHYD_02799	41288.586	8853.495	57493.652	1247	709	932
RUMHYD_02800	13408.306	6150.37	16823.327	515.466	424	334.415
RUMHYD_02801	19383.038	9122.642	22072.544	777.534	470	391.585
RUMHYD_02802	1816.656	778.988	1894	80	28	60
RUMHYD_02803	3384.336	255	1632.504	13	21	29
RUMHYD_02804	3281.664	198	1520.496	23	10	61
RUMHYD_02805	472	315	479	59	42	104
RUMHYD_02806	169	76	311	6	9	8
RUMHYD_02807	7054.256	2795	5842	838.516	530	446
RUMHYD_02808	16445.518	7282.366	25098.332	880.702	599.813	545.744
