geneID	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_01907	1977	4547.519	2217	3605	4903	1600.863	3785.751	1646.998	1668.558
RUMHYD_01908	99	42.481	46	94	131	13.137	37.249	13.002	19.442
RUMHYD_01909	177	271	100	24	8	16	6	0	11
RUMHYD_01910	4057	3525.969	1536	6992.195	9462.251	2389	2275.653	2007.153	1942.946
RUMHYD_01911	1364	1796.031	698	3867.805	5221.056	1253	1363.347	1182.847	1319.054
RUMHYD_01913	12998	27930	11601	34316.647	34766.759	13084.178	7295.578	7252.454	6412.98
RUMHYD_01914	671	952	378	1347.379	1291.887	472.822	243.935	277.546	318.02
RUMHYD_01915	793	1260	349.394	2704.017	2536.784	843	431.486	675.22	578
RUMHYD_01916	1045	1658	613.606	4165.848	4042.772	1338.998	589	539.767	655
RUMHYD_01917	144	336	64	479.671	379.203	239.002	48	51.014	41
RUMHYD_01918	64	16	8	59	48	26	7	0	22
RUMHYD_01919	124	53	27	276	234	56	25	31	62
RUMHYD_01920	317	119	44	200	191	71	14	30	31
RUMHYD_01921	135	129	30	729	699	146	128	118	91
RUMHYD_01922	19	22	8	47	29	11	9	11	49
RUMHYD_01923	27	23	6	241	143	23	63.896	38	40.226
RUMHYD_01924	377	499	159.997	969.53	825.312	399	252.427	173	192.147
RUMHYD_01925	263	72	69.003	314.998	223.291	34	101.657	73.606	151.232
RUMHYD_01926	668	161	126	708.472	435.398	188	95.019	81.394	105.395
RUMHYD_01930	0	5	0	1	0	2	5	8	5
RUMHYD_01932	13514	8084	4043	17801.002	12007	5339	97710	22220	55149
RUMHYD_01934	79	142	69	45	74	21	9	6	8
RUMHYD_01935	0	0	2	0	1	0	0	0	2.957
RUMHYD_01936	0	0	1	0	0	0	5	1	16.043
RUMHYD_01937	132	47	5	82.291	99	12	45	14	113.569
RUMHYD_01938	93	38	30	121.709	105	27	46	34	53.431
RUMHYD_01939	4590	4453	2110	6213	5844	1822	3097	2100	3086
RUMHYD_01940	984	2013	817	4157.005	3817	1230	1130	823	919.696
RUMHYD_01941	130	99	57	173	153	38	16	27	54.611
RUMHYD_01942	8	18	3	41	100	7	37	23	46.97
RUMHYD_01943	17928	16531	10918	36150.562	44157	15791	11904	17015	12523.723
RUMHYD_01944	2669	6228	2572	21933.981	29437.807	5825	12922.469	10034.326	9043
RUMHYD_01945	693	1935	729	7766.54	9395.002	1994	2903.493	2413.674	1938
RUMHYD_01946	5157.02	14511.181	5479.389	46318.815	51583.338	18152.735	18387.905	16823.792	16160.83
RUMHYD_01947	1160.98	3051.819	1090.611	9175.873	9431.306	3033.032	1799.338	1726.208	1658.126
RUMHYD_01948	587	1181	300	5916.047	6567.685	1912	1634.795	1460	1183.045
RUMHYD_01949	32	72	31	80	35	42	58	47	65
RUMHYD_01950	603	603	219	1458.12	1133.496	354.979	1122	810	894.935
RUMHYD_01951	748	819.589	821.182	1602.078	1760.953	597.308	293.297	318.974	275.972
RUMHYD_01952	17381	32151.183	11031.774	59722.533	88505.337	28274.771	36674.63	43006.479	31865.203
RUMHYD_01953	1674	1451.228	647.044	3159.131	4073.295	828.943	1680.992	2269.1	1395.029
RUMHYD_01954	83419.029	164793.987	68872.207	381388.148	510967.868	159080.818	344487.348	120910.141	151341.785
RUMHYD_01955	12792.445	33162.119	12997.712	71390.463	70741.065	38006.23	34305.829	14635.083	19240.925
RUMHYD_01956	5691.526	14614.775	5358.32	29696.012	36618.114	12753.39	7335.687	5336.053	4901.478
